Title,Year,Distributor,Budget (in $),Domestic Opening (in $),Domestic Sales (in $),International Sales (in $),World Wide Sales (in $),Release Date,Running Time,License
Just Go with It,2011,Sony Pictures Entertainment (SPE),80000000,30514732,103028109,111917482,214945591,9-Feb-11,1 hr 57 min,PG-13
The Imitation Game,2014,The Weinstein Company,November 14 2014 (United Kingdom),479352,91125683,142430025,233555708,25-Jun-99,1 hr 33 min,PG-13
The Last Airbender,2010,Paramount Pictures,150000000,40325019,131772187,187941694,319713881,1-Jul-10,1 hr 43 min,PG
Birds of Prey,2020,Warner Bros.,84500000,33010017,84172791,121200000,205372791,5-Feb-20,1 hr 49 min,R
Basic Instinct,1992,TriStar Pictures,49000000,15129385,117727224,235200000,352927224,20-Mar-92,2 hr 7 min,R
Mirror Mirror,2012,Relativity Media,85000000,18132085,64935167,118083355,183018522,15-Mar-12,1 hr 46 min,PG
A Quiet Place,2018,Paramount Pictures,17000000,50203562,188024361,152928610,340952971,4-Apr-18,1 hr 30 min,PG-13
American Reunion,2012,Universal Pictures,50000000,21514080,57011521,177978063,234989584,4-Apr-12,1 hr 53 min,R
Armageddon,1998,Walt Disney Studios Motion Pictures,140000000,36089972,201578182,352131606,553709788,1-Jul-98,2 hr 31 min,PG-13
The Day the Earth Stood Still,2008,Twentieth Century Fox,80000000,30480153,79366978,153726881,233093859,10-Dec-08,1 hr 44 min,PG-13
The Amazing Spider-Man 2,2014,Sony Pictures Entertainment (SPE),April 16 2014 (Belgium),91608337,202853933,506128390,708982323,28-Jun-07,2 hr 24 min,PG-13
Valerian and the City of a Thousand Planets,2017,STX Entertainment,177200000,17007624,41189488,184783852,225973340,20-Jul-17,2 hr 16 min,PG-13
Hulk,2003,Universal Pictures,137000000,62128420,132177234,113107931,245285165,19-Jun-03,2 hr 18 min,PG-13
The Croods: A New Age,2020,Universal Pictures,November 25 2020 (Domestic),9724200,58568815,157337000,215905815,17-Jun-11,1 hr 32 min,R
Rio,2011,Twentieth Century Fox,90000000,39225962,143619809,340246963,483866772,4-Apr-11,1 hr 36 min,PG
Coco,2017,Walt Disney Studios Motion Pictures,October 27 2017 (Mexico),50802605,210460015,603877039,814337054,3-Jul-96,2 hr 25 min,PG-13
Captain Marvel,2019,Walt Disney Studios Motion Pictures,160000000,153433423,426829839,704586607,1131416446,6-Mar-19,2 hr 3 min,PG-13
The Hangover Part II,2011,Warner Bros.,80000000,85946294,254464305,332300000,586764305,25-May-11,1 hr 42 min,R
Safe House,2012,Universal Pictures,85000000,40172720,126373434,81702771,208076205,8-Feb-12,1 hr 55 min,R
The Lion King,1994,Walt Disney Studios Motion Pictures,45000000,1586753,422783777,545728028,968511805,15-Jun-94,1 hr 28 min,G
Avengers: Infinity War,2018,Walt Disney Studios Motion Pictures,April 25 2018 (APAC EMEA),257698183,678815482,1373599557,2052415039,16-Dec-15,2 hr 18 min,PG-13
The Great Gatsby,2013,Warner Bros.,105000000,50085185,144857996,208801855,353659851,10-May-13,2 hr 23 min,PG-13
Charlie's Angels,2000,Sony Pictures Entertainment (SPE),93000000,40128550,125305545,138800000,264105545,3-Nov-00,1 hr 38 min,PG-13
Bambi,1942,RKO Radio Pictures,150000000,August 21 1942 (Domestic),102247150,165200000,267447150,4-Oct-17,2 hr 44 min,R
The Hobbit: An Unexpected Journey,2012,Warner Bros.,December 12 2012 (EMEA APAC),84617303,303030651,714000000,1017030651,16-Nov-01,2 hr 32 min,PG
Saving Private Ryan,1998,DreamWorks Distribution,70000000,30576104,217049603,265300000,482349603,24-Jul-98,2 hr 49 min,R
Bad Moms,2016,STX Entertainment,20000000,23817340,113257297,70678777,183936074,28-Jul-16,1 hr 40 min,R
Men in Black II,2002,Sony Pictures Entertainment (SPE),140000000,52148751,193735288,251400000,445135288,3-Jul-02,1 hr 28 min,PG-13
Split,2016,Universal Pictures,9000000,40010975,138291365,140163052,278454417,18-Jan-17,1 hr 57 min,PG-13
E.T. the Extra-Terrestrial,1982,Universal Pictures,10500000,11835389,437141279,304203888,792910554,11-Jun-82,1 hr 55 min,PG
Guardians of the Galaxy,2014,Walt Disney Studios Motion Pictures,170000000,94320883,333718600,439631547,773350147,30-Jul-14,2 hr 1 min,PG-13
The Lost World: Jurassic Park,1997,Universal Pictures,73000000,72132785,229086679,389552320,618638999,23-May-97,2 hr 9 min,PG-13
Alvin and the Chipmunks: Chipwrecked,2011,Twentieth Century Fox,75000000,23244744,133110742,209584693,342695435,14-Dec-11,1 hr 27 min,G
Rambo: First Blood Part II,1985,TriStar Pictures,May 22 1985 (Domestic),20176217,150415432,149985000,300400432,15-Dec-78,2 hr 23 min,PG
Oppenheimer,2023,Universal Pictures,July 19 2023 (EMEA APAC),82455420,321212945,604752000,925964945,19-May-04,1 hr 33 min,PG
Ace Ventura: When Nature Calls,1995,Warner Bros.,November 10 1995 (Domestic),37804076,108385533,104000000,212385533,30-Apr-99,1 hr 53 min,PG-13
Something's Gotta Give,2003,Sony Pictures Entertainment (SPE),80000000,16064723,124728738,140600000,265328738,12-Dec-03,2 hr 8 min,PG-13
A Bug's Life,1998,Walt Disney Studios Motion Pictures,120000000,291121,162798565,200460294,363258859,20-Nov-98,1 hr 35 min,NA
Teenage Mutant Ninja Turtles,1990,New Line Cinema,13500000,25398367,135384756,66700000,202084756,30-Mar-90,1 hr 33 min,NA
Ice Age: Dawn of the Dinosaurs,2009,Twentieth Century Fox,90000000,41690382,196573705,690113112,886686817,29-Jun-09,1 hr 34 min,PG
After Earth,2013,Sony Pictures Entertainment (SPE),130000000,27520040,60522097,183089885,243611982,30-May-13,1 hr 40 min,PG-13
Meg 2: The Trench,2023,Warner Bros.,August 2 2023 (EMEA APAC),30002735,81893895,308900000,390793895,28-Jun-06,2 hr 34 min,PG-13
Cloudy with a Chance of Meatballs,2009,Sony Pictures Entertainment (SPE),100000000,30304648,124870275,118135851,243006126,16-Sep-09,1 hr 30 min,PG
Vanilla Sky,2001,Paramount Pictures,68000000,25015518,100618344,102769997,203388341,14-Dec-01,2 hr 16 min,R
GoldenEye,1995,Metro-Goldwyn-Mayer (MGM),November 17 1995 (Domestic),26205007,106429941,245764093,352194034,11-May-16,1 hr 37 min,PG
The Lego Batman Movie,2017,Warner Bros.,80000000,53003468,175936671,136200000,312136671,2-Feb-17,1 hr 44 min,PG
Maleficent: Mistress of Evil,2019,Walt Disney Studios Motion Pictures,185000000,36948713,113929605,377800484,491730089,16-Oct-19,1 hr 59 min,PG
Harry Potter and the Order of the Phoenix,2007,Warner Bros.,150000000,77108414,292382727,649895317,942278045,11-Jul-07,2 hr 18 min,PG-13
Babe,1995,Universal Pictures,August 4 1995 (Domestic),8742545,63658910,190476000,254134910,28-May-93,1 hr 53 min,R
Batman v Superman: Dawn of Justice,2016,Warner Bros.,250000000,166007347,330360194,543277334,873637528,23-Mar-16,2 hr 31 min,PG-13
The Haunted Mansion,2003,Walt Disney Studios Motion Pictures,90000000,24278410,75847266,106443000,182290266,26-Nov-03,1 hr 39 min,PG
Tenet,2020,Warner Bros.,August 26 2020 (EMEA APAC),9353090,58504105,306800000,365304105,12-Dec-07,1 hr 32 min,PG
Ford v Ferrari,2019,Twentieth Century Fox,97600000,31474958,117624357,107883853,225508210,13-Nov-19,2 hr 32 min,PG-13
G-Force,2009,Walt Disney Studios Motion Pictures,150000000,31706934,119436770,173381128,292817898,23-Jul-09,1 hr 28 min,PG
The Ring,2002,DreamWorks Distribution,48000000,15015393,129128133,120220800,249348933,18-Oct-02,1 hr 55 min,PG-13
Jumanji: The Next Level,2019,Sony Pictures Entertainment (SPE),125000000,59251543,320314960,481378969,801693929,4-Dec-19,2 hr 3 min,PG-13
Total Recall,1990,Sony Pictures Entertainment (SPE),65000000,25533700,119412921,141905000,261317921,1-Jun-90,1 hr 53 min,NA
The Nun,2018,Warner Bros.,22000000,53807379,117481222,248101575,365582797,5-Sep-18,1 hr 36 min,R
Rogue One: A Star Wars Story,2016,Walt Disney Studios Motion Pictures,200000000,155081681,533539991,525142151,1058682142,14-Dec-16,2 hr 13 min,PG-13
My Best Friend's Wedding,1997,Sony Pictures Entertainment (SPE),38000000,21678377,127120029,172168576,299288605,20-Jun-97,1 hr 45 min,PG-13
Enchanted,2007,Walt Disney Studios Motion Pictures,85000000,34440317,127807262,212680600,340487862,21-Nov-07,1 hr 47 min,PG
Prometheus,2012,Twentieth Century Fox,130000000,51050101,126477084,276877385,403354469,30-May-12,2 hr 4 min,R
Home Alone 2: Lost in New York,1992,Twentieth Century Fox,November 20 1992 (Domestic),31126882,173585516,185409334,358994850,10-Jun-10,2 hr 20 min,PG
Dracula Untold,2014,Universal Pictures,70000000,23514615,56280355,160843925,217124280,9-Sep-14,1 hr 32 min,PG-13
Crocodile Dundee,1986,Paramount Pictures,September 26 1986 (Domestic),8038855,174803506,153400000,328203506,15-May-19,2 hr 10 min,R
Paul Blart: Mall Cop,2009,Sony Pictures Entertainment (SPE),26000000,31832636,146336178,37012251,183348429,16-Jan-09,1 hr 31 min,PG
Planet of the Apes,2001,Twentieth Century Fox,100000000,68532960,180011740,182200000,362211740,27-Jul-01,2 hr,PG-13
Finding Dory,2016,Walt Disney Studios Motion Pictures,June 15 2016 (Philippines),135060273,486295561,542971428,1029266989,14-Jun-17,1 hr 29 min,PG
Robin Hood,2010,Universal Pictures,200000000,36063385,105269730,216400011,321669741,12-May-10,2 hr 20 min,PG-13
Frozen,2013,Walt Disney Studios Motion Pictures,150000000,243390,400953009,883587509,1284540518,22-Nov-13,1 hr 42 min,PG
Legend of Deification,2020,Well Go USA Entertainment,82500000,October 1 2020 (3 markets),214670,240431685,240646355,22-Jun-06,1 hr 47 min,PG-13
Home Alone,1990,Twentieth Century Fox,18000000,17081997,285761243,190923432,476684675,16-Nov-90,1 hr 43 min,NA
Kung Fu Panda 2,2011,DreamWorks,150000000,47656302,165249063,500443218,665692281,26-May-11,1 hr 30 min,PG
Interview with the Vampire: The Vampire Chronicles,1994,Warner Bros.,60000000,36389705,105264608,118400000,223664608,11-Nov-94,2 hr 3 min,R
Grease,1978,Paramount Pictures,6000000,8941717,190071103,206200000,396271103,16-Jun-78,1 hr 50 min,PG
Mission: Impossible - Fallout,2018,Paramount Pictures,178000000,61236534,220159104,571498294,791657398,25-Jul-18,2 hr 27 min,PG-13
The Conjuring,2013,Warner Bros.,20000000,41855326,137446368,182959874,320406242,18-Jul-13,1 hr 52 min,R
Alvin and the Chipmunks: The Road Chip,2015,Twentieth Century Fox,December 18 2015 (Domestic),14287159,85886987,148911649,234798636,25-Jun-99,1 hr 33 min,PG-13
Bolt,2008,Walt Disney Studios Motion Pictures,150000000,26223128,114053579,195926415,309979994,21-Nov-08,1 hr 36 min,PG
Maverick,1994,Warner Bros.,May 20 1994 (Domestic),17248545,101631272,81400000,183031272,14-Feb-92,1 hr 34 min,PG-13
Uncharted,2022,Sony Pictures Entertainment (SPE),February 10 2022 (APAC EMEA),44010155,148648820,258492438,407141258,30-Apr-03,2 hr 14 min,PG-13
Baby Driver,2017,TriStar Pictures,34000000,20553320,107825862,119119225,226945087,28-Jun-17,1 hr 53 min,R
How the Grinch Stole Christmas,2000,Universal Pictures,123000000,55082330,260715005,85108027,345823032,17-Nov-00,1 hr 44 min,PG
The Da Vinci Code,2006,Sony Pictures Entertainment (SPE),125000000,77073388,217536138,542470807,760006945,17-May-06,2 hr 29 min,PG-13
The Monkey King 2,2016,China Lion Film Distribution,February 4 2016 (APAC),166391,709982,192968316,193678298,22-Dec-17,1 hr 56 min,PG-13
Cruella,2021,Walt Disney Studios Motion Pictures,May 26 2021 (APAC EMEA),21496997,86103234,147400000,233503234,25-Jun-99,1 hr 33 min,PG-13
Big Hero 6,2014,Walt Disney Studios Motion Pictures,165000000,56215889,222527828,435341858,657869686,25-Oct-14,1 hr 42 min,PG
Neighbors,2014,Universal Pictures,18000000,49033915,150157400,120507734,270665134,8-May-14,1 hr 37 min,R
Elemental,2023,Walt Disney Studios Motion Pictures,June 14 2023 (APAC),29602429,154409516,332388472,486797988,8-Jun-05,2 hr,PG-13
Slumdog Millionaire,2008,Fox Searchlight,15000000,360018,141319928,237090614,378410542,12-Nov-08,2 hr,R
Harry Potter and the Half-Blood Prince,2009,Warner Bros.,250000000,77835727,302334374,632185012,934519387,15-Jul-09,2 hr 33 min,PG
Bram Stoker's Dracula,1992,Columbia Pictures,40000000,30521679,82522790,133339902,215862692,13-Nov-92,2 hr 8 min,R
The First Wives Club,1996,Paramount Pictures,September 20 1996 (Domestic),18913411,105489203,76000000,181489203,10-May-06,1 hr 38 min,PG-13
The Bridges of Madison County,1995,Warner Bros.,24000000,10519257,71516617,110500000,182016617,2-Jun-95,2 hr 15 min,PG-13
Terminator 3: Rise of the Machines,2003,Warner Bros.,200000000,44041440,150371112,283000000,433371112,2-Jul-03,1 hr 49 min,R
Rise of the Planet of the Apes,2011,Twentieth Century Fox,93000000,54806191,176760185,305040688,481800873,3-Aug-11,1 hr 45 min,PG-13
Indiana Jones and the Dial of Destiny,2023,Walt Disney Studios Motion Pictures,June 28 2023 (EMEA APAC),60368101,174480468,208410636,382891104,14-Mar-02,1 hr 21 min,PG
Star Wars: Episode IX - The Rise of Skywalker,2019,Walt Disney Studios Motion Pictures,275000000,177383864,515202542,561819830,1077022372,18-Dec-19,2 hr 21 min,PG-13
Rain Man,1988,Metro-Goldwyn-Mayer (MGM),25000000,7005719,172825435,182000000,354825435,16-Dec-88,2 hr 13 min,NA
Ralph Breaks the Internet,2018,Walt Disney Studios Motion Pictures,175000000,56237634,201091711,328232251,529323962,21-Nov-18,1 hr 52 min,PG
The Scorpion King,2002,Universal Pictures,60000000,36075875,91047077,89583830,180630907,18-Apr-02,1 hr 32 min,PG-13
The Patriot,2000,Sony Pictures Entertainment (SPE),110000000,22413710,113330342,101964000,215294342,28-Jun-00,2 hr 45 min,R
Cliff Walkers,2021,CMC Pictures,April 29 2021 (New Zealand),53142,152972,181172593,181325565,10-May-06,1 hr 38 min,PG-13
Captain Phillips,2013,Sony Pictures Entertainment (SPE),55000000,25718314,107100855,111690956,218791811,11-Oct-13,2 hr 14 min,PG-13
Entrapment,1999,Twentieth Century Fox,66000000,20145595,87704396,124700000,212404396,30-Apr-99,1 hr 53 min,PG-13
How to Train Your Dragon: The Hidden World,2019,Universal Pictures,129000000,55022245,160945505,363635087,524580592,3-Jan-19,1 hr 44 min,PG
Maze Runner: The Death Cure,2018,Twentieth Century Fox,62000000,24167011,58032443,230142892,288175335,17-Jan-18,2 hr 23 min,PG-13
The Flash,2023,Warner Bros.,June 14 2023 (APAC EMEA),55043679,108133313,160400000,268533313,2-Nov-07,2 hr 37 min,R
The Good Dinosaur,2015,Walt Disney Studios Motion Pictures,November 25 2015 (7 markets),39155217,123087120,209120551,332207671,22-Nov-89,1 hr 48 min,NA
Mission: Impossible - Ghost Protocol,2011,Paramount Pictures,145000000,12785204,209397903,485315477,694713380,14-Dec-11,2 hr 12 min,PG-13
Cheaper by the Dozen,2003,Twentieth Century Fox,40000000,27557647,138614544,51924086,190538630,25-Dec-03,1 hr 38 min,PG
Knowing,2009,Summit Entertainment,50000000,24604751,79957634,103700864,183658498,16-May-07,2 hr 1 min,PG-13
Frozen II,2019,Walt Disney Studios Motion Pictures,150000000,130263358,477373578,976309898,1453683476,20-Nov-19,1 hr 43 min,PG
Too Cool to Kill,2022,Well Go USA Entertainment,February 1 2022 (China),72432,185882,217068722,217254604,27-Jul-17,1 hr 26 min,PG
Black Panther,2018,Walt Disney Studios Motion Pictures,February 13 2018 (EMEA APAC),202003951,700426566,649499517,1349926083,22-Apr-15,2 hr 21 min,PG-13
Hotel Transylvania,2012,Sony Pictures Entertainment (SPE),85000000,42522194,148313048,210062555,358375603,20-Sep-12,1 hr 31 min,PG
Hop,2011,Universal Pictures,63000000,37543710,108498305,75868840,184367145,30-Mar-11,1 hr 35 min,PG
The Wolverine,2013,Twentieth Century Fox,120000000,53113752,132556852,282271394,414828246,24-Jul-13,2 hr 6 min,PG-13
X-Men: The Last Stand,2006,Twentieth Century Fox,210000000,102750665,234362462,226072829,460435291,24-May-06,1 hr 44 min,PG-13
Mission: Impossible,1996,Paramount Pictures,80000000,45436830,180981856,276714535,457696391,22-May-96,1 hr 50 min,PG-13
The Polar Express,2004,Warner Bros.,165000000,23323463,189528738,127369049,316897787,10-Nov-04,1 hr 40 min,NA
Jack Reacher,2012,Paramount Pictures,60000000,15210156,80070736,138269859,218340595,20-Dec-12,2 hr 10 min,PG-13
La La Land,2016,Lionsgate,30000000,881104,151101803,320875533,471977336,8-Dec-16,2 hr 8 min,PG-13
Vertical Limit,2000,Sony Pictures Entertainment (SPE),75000000,15507845,69243859,146420000,215663859,8-Dec-00,2 hr 4 min,PG-13
The Perfect Storm,2000,Warner Bros.,140000000,41325042,182618434,146100000,328718434,30-Jun-00,2 hr 10 min,PG-13
Transformers: The Last Knight,2017,Paramount Pictures,217000000,44680073,130168683,475256474,605425157,21-Jun-17,2 hr 34 min,PG-13
Pretty Woman,1990,Walt Disney Studios Motion Pictures,14000000,11280591,178406268,285000000,463406268,23-Mar-90,1 hr 59 min,R
Rampage,2018,Warner Bros.,120000000,35753093,101028233,327000000,428028233,11-Apr-18,1 hr 47 min,PG-13
Godzilla: King of the Monsters,2019,Warner Bros.,170000000,47776293,110500138,276100000,386600138,29-May-19,2 hr 12 min,PG-13
The Mask of Zorro,1998,Sony Pictures Entertainment (SPE),95000000,22525855,94095523,156193000,250288523,17-Jul-98,2 hr 16 min,PG-13
Smallfoot,2018,Warner Bros.,September 20 2018 (EMEA APAC),23045635,83315531,130800000,214115531,21-Nov-18,2 hr 10 min,PG-13
Dumb and Dumber,1994,New Line Cinema,17000000,16363442,127190327,120100000,247290327,16-Dec-94,1 hr 47 min,NA
xXx: Return of Xander Cage,2017,Paramount Pictures,85000000,20130142,44898413,301219864,346118277,18-Jan-17,1 hr 47 min,PG-13
Daddy's Home,2015,Paramount Pictures,December 24 2015 (APAC),38740203,150357137,92429000,242786137,8-Nov-02,1 hr 50 min,R
